受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020/2/7,170003,石川県,,4
2020/2/10,170003,石川県,,12
2020/2/12,170003,石川県,,1
2020/2/13,170003,石川県,,0
2020/2/14,170003,石川県,,1
2020/2/17,170003,石川県,,8
2020/2/18,170003,石川県,,25
2020/2/19,170003,石川県,,15
2020/2/20,170003,石川県,,18
2020/2/21,170003,石川県,,15
2020/2/22,170003,石川県,,31
2020/2/23,170003,石川県,,13
2020/2/24,170003,石川県,,10
2020/2/25,170003,石川県,,72
2020/2/26,170003,石川県,,40
2020/2/27,170003,石川県,,44
2020/2/28,170003,石川県,,18
2020/2/29,170003,石川県,,27
2020/3/1,170003,石川県,,8
2020/3/2,170003,石川県,,46
2020/3/3,170003,石川県,,30
2020/3/4,170003,石川県,,51
2020/3/5,170003,石川県,,14
2020/3/6,170003,石川県,,23
2020/3/7,170003,石川県,,18
2020/3/8,170003,石川県,,19
2020/3/9,170003,石川県,,30
2020/3/10,170003,石川県,,38
2020/3/11,170003,石川県,,34
2020/3/12,170003,石川県,,18
2020/3/13,170003,石川県,,35
2020/3/14,170003,石川県,,11
2020/3/15,170003,石川県,,13
2020/3/16,170003,石川県,,22
2020/3/17,170003,石川県,,17
2020/3/18,170003,石川県,,27
2020/3/19,170003,石川県,,25
2020/3/20,170003,石川県,,6
2020/3/21,170003,石川県,,16
2020/3/22,170003,石川県,,12
2020/3/23,170003,石川県,,31
2020/3/24,170003,石川県,,21
2020/3/25,170003,石川県,,17
2020/3/26,170003,石川県,,24
2020/3/27,170003,石川県,,33
2020/3/28,170003,石川県,,10
2020/3/29,170003,石川県,,19
2020/3/30,170003,石川県,,79
2020/3/31,170003,石川県,,56
2020/4/1,170003,石川県,,81
2020/4/2,170003,石川県,,90
2020/4/3,170003,石川県,,79
2020/4/4,170003,石川県,,57
2020/4/5,170003,石川県,,67
2020/4/6,170003,石川県,,156
2020/4/7,170003,石川県,,108
2020/4/8,170003,石川県,,94
2020/4/9,170003,石川県,,129
2020/4/10,170003,石川県,,127
2020/4/11,170003,石川県,,244
2020/4/12,170003,石川県,,133
2020/4/13,170003,石川県,,451
2020/4/14,170003,石川県,,396
2020/4/15,170003,石川県,,295